Индекс ВМО,Наименование станции,Широта,Долгота,Высота метеопл.,Начало наблюдений,Примечание
27730.0,Рязань,54.583333333333336,39.7,155.0,1931.0,Перенос в 1942г. на 2км в аэропорт
27756.0,Краснослободск,54.43333333333333,43.766666666666666,185.0,1934.0,"Переносы: 09.01.1958г. на 2.5км к СЗ, в 1986г. на 1км к ЮВ"
27814.0,Плавск,53.65,37.233333333333334,240.0,1963.0,
27823.0,Павелец,53.78333333333333,39.233333333333334,209.0,1927.0,
27857.0,Земетчино,53.483333333333334,42.63333333333333,131.0,1880.0,Перенос 26.09.1957г. на 1.5км к ЮВ
27872.0,Инза,53.85,46.416666666666664,175.0,1925.0,"Переносы: 01.01.1963г. на 1.5км к ЮЮЗ, в 1985г. на 5.5км к В"
27947.0,Тамбов,52.8,41.483333333333334,127.0,1845.0,"Переносы: 24.09.1948г. на 6км к СВ, 15.05.1952г. на 8км к С, 30.09.1957г.на 1.7км к Ю"
27962.0,Пенза,53.11666666666667,45.016666666666666,169.0,1850.0,Перенос в 1969г. на 9км к Ю
27995.0,Безенчук,52.983333333333334,49.43333333333333,45.0,1904.0,
28009.0,Кирс,59.35,52.25,167.0,1902.0,"Переносы: в 1954г. на 5км к СЗ, в 2009г. на 3.5км к ЮВ"
28064.0,Леуши,59.63333333333333,65.71666666666667,70.0,1927.0,
28138.0,Бисер,58.516666666666666,58.85,463.0,1888.0,
28144.0,Верхотурье,58.86666666666667,60.78333333333333,124.0,1890.0,
28224.0,Пермь,58.0,56.333333333333336,171.0,1866.0,"Переносы: 16.04.1938г. на 2км из центра города на северную окраину п.Балатово, 18.10.1951г. на 5км к ВЮВ от центра города на территорию опытной станции"
28255.0,Туринск,58.05,63.68333333333333,101.0,1926.0,"Переносы: в 05.1956г. на 1км к СЗ, в 10.1963г. на 2.5км к СЗ"
28275.0,Тобольск,58.15,68.25,45.0,1884.0,"Закрыта в 1957г., 19.06.1957г. открыта Тобольск, аэрол., затем Тобольск, ОГМС; в наст. время Тобольск"
28312.0,Дебесы,57.63333333333333,53.81666666666667,187.0,1936.0,
28367.0,Тюмень,57.11666666666667,65.41666666666667,101.0,1950.0,
28402.0,Кильмезь,56.9,51.06666666666667,143.0,1936.0,"Переносы: 10.12.1977г. на 5км к Ю, 23.10.1992г. на 3.5км к ССЗ"
28411.0,Ижевск,56.833333333333336,53.45,155.0,1933.0,"Переносы: в 06.1951г. на 5км к В, координаты 
56 o51’-53 o18’; 30.10.1974г. на 10км к В, координаты 56 o50’-53 o27’; 25.07.1977г. на 1.4км к СВ"
28418.0,Сарапул,56.46666666666667,53.733333333333334,135.0,1923.0,Перенос 18.09.1970г. на 5км к ЮЗ
28419.0,Янаул,56.266666666666666,54.9,98.0,1926.0,Перенос в 11.1943г. на 2км к СВ
28434.0,Красноуфимск,56.65,57.78333333333333,205.0,1926.0,Перенос 5.11.1956г. на 6км к С
28440.0,Екатеринбург,56.833333333333336,60.63333333333333,280.0,1831.0,Перенос в 1969г. на 1.5км к Ю
28445.0,Верхнее Дуброво,56.733333333333334,61.06666666666667,286.0,1936.0,
28493.0,Тара,56.9,74.38333333333334,73.0,1887.0,"Переносы: 15.08.1936г. на 2.5км на территорию опытной станции, 02.10.1951г. на 5км к ЮЗ. С 02.05.1960 г. данные станции Тара, ОГМС"
28506.0,Елабуга,55.766666666666666,52.05,90.0,1843.0,
28537.0,Дуван,55.7,57.9,337.0,1936.0,Перенос в 06.1956г. на 1км к СВ
28552.0,Шадринск,56.06666666666667,63.65,88.0,1894.0,Перенос 21.11.1955г. на 3км к СЗ
28561.0,Памятное,56.016666666666666,65.7,66.0,1956.0,
28573.0,Ишим,56.1,69.43333333333334,82.0,1925.0,
28624.0,Кушнаренково,55.13333333333333,55.35,98.0,1929.0,Перенос в 1947г. на 2км к ЮЗ
28630.0,Златоуст,55.166666666666664,59.666666666666664,532.0,1818.0,Перенос в 1958г. на 1км к СЗ
28661.0,Курган,55.45,65.4,71.0,1893.0,"Переносы: в 08.1942г. на 2км к СВ; в 06.1976г. на 1.65км к ССЗ; в 06.1994г. на 1.5км к ЮЮЗ, в 2014г. на 1.3км к Ю"
28666.0,Макушино,55.25,67.3,138.0,1926.0,"Переносы: 23.10.1929г. на 2км к С, 29.10.1954г. на 1км к ССВ"
28698.0,Омск,55.016666666666666,73.38333333333334,121.0,1875.0,"До 1916г. данные ст.Омск, город (координаты: 54°58′-73°23′). С 1916г. до 1935г. данные станции Омск, оп. п. (координаты: 55°01′-73°19′). С 1935г. – Омск, степная; с 10.04.1962г. - Омск, отдел наблюдений; с 08.1983г.- Омск, ОГМС (координаты: 55°01′-73°23′)"
28704.0,Чулпаново,54.5,50.416666666666664,76.0,1929.0,
28719.0,Аксаково,54.03333333333333,54.15,350.0,1932.0,
28722.0,Уфа,54.71666666666667,55.833333333333336,104.0,1853.0,"Уфа 1 до 1957г., Уфа,Дема с 27.06.1957г."
28748.0,Троицк,54.083333333333336,61.61666666666667,192.0,1887.0,Перенос в 1974г. на 1км к ЗСЗ
28802.0,Серноводск,53.916666666666664,51.266666666666666,112.0,1917.0,"Переносы: в 1915г. на 7км к СВ, в 1965г. на 1.5км к ССЗ"
28823.0,Тукан,53.86666666666667,57.416666666666664,551.0,1935.0,
28825.0,Стерлитамак,53.583333333333336,56.0,136.0,1924.0,"Переносы: 19.07.1963г. на 7км к ЮЮЗ, в 1984г. на 1.2км к ССВ"
28833.0,Верхнеуральск,53.88333333333333,59.2,401.0,1903.0,Переносы:29.10.1935г. и 01.03.1960г. на 1.5км к З
28895.0,Русская Поляна,53.78333333333333,73.88333333333334,127.0,1954.0,
